"ID","Age","Gender","Race","RaceImputed","Location","City","State","ZipCode","County","Address","Latitude","Longitude","Agency","ForceType","Date","Year"
27248,"23","Male","African-American/Black","African-American/Black","30800 block 14th Avenue South","Federal Way","WA",98003,"King","30800 block 14th Avenue South Federal Way WA 98003 King","47.3223642",-122.3160301,"Federal Way Police Department","Gunshot",2019-12-31,2019
27250,"37","Male","African-American/Black","African-American/Black","17057 N Outer 40 Rd","Chesterfield","MO",63005,"St. Louis","17057 N Outer 40 Rd Chesterfield MO 63005 St. Louis","38.6715689",-90.588494,"Chesterfield Police Department","Gunshot",2019-12-31,2019
27251,"57","Male","African-American/Black","African-American/Black","3600 N 24th St","Omaha","NE",68110,"Douglas","3600 N 24th St Omaha NE 68110 Douglas","41.2921396",-95.9473699,"Omaha Police Department","Gunshot",2019-12-31,2019
27252,"58","Female","African-American/Black","African-American/Black","3600 N 24th St","Omaha","NE",68110,"Douglas","3600 N 24th St Omaha NE 68110 Douglas","41.2921396",-95.9473699,"Omaha Police Department","Gunshot",2019-12-31,2019
27253,"46","Male","African-American/Black","African-American/Black","210 Boy Scout Rd","Augusta","GA",30909,"Richmond","210 Boy Scout Rd Augusta GA 30909 Richmond","33.5101655",-82.040586,"Richmond County Sheriff's Office","Gunshot",2019-12-31,2019
27259,"28","Male","European-American/White","European-American/White","Broad St. ","Globe","AZ",85501,"Gila","Broad St.  Globe AZ 85501 Gila ","33.4143418",-110.7984566,"Globe Police Department","Gunshot",2019-12-31,2019
27280,"47","Male","Race unspecified","European-American/White","2402-2898 MS-15","Blue Mountain","MS",38610,"Tippah","2402-2898 MS-15 Blue Mountain MS 38610 Tippah ","34.6291653",-89.0183356,"Mississippi Highway Patrol","Gunshot",2019-12-31,2019
27347,"49","Male","Race unspecified","European-American/White","5197 Dawn St","Cross Lanes","WV",25313,"Kanawha","5197 Dawn St Cross Lanes WV 25313 Kanawha","38.429845",-81.78066,"Kanawha County Sheriff's Office","Gunshot",2019-12-31,2019
27244,"51","Female","European-American/White","European-American/White","E Mt Vernon St and S Webb Rd","Wichita","KS",67207,"Sedgwick","E Mt Vernon St and S Webb Rd Wichita KS 67207 Sedgwick","37.6572906",-97.2261293,"Sedgwick County Sheriff's Office","Gunshot",2019-12-30,2019
27245,"18","Male","African-American/Black","African-American/Black","5700 block Pershing Street","Houston","TX",77033,"Harris","5700 block Pershing Street Houston TX 77033 Harris","29.6750278",-95.3361091,"Houston Police Department, Pasadena Police Department","Gunshot",2019-12-30,2019
27247,"27","Male","European-American/White","European-American/White","706 Hickman Ave","Fulton","MO",65251,"Callaway","706 Hickman Ave Fulton MO 65251 Callaway","38.8516503",-91.9581243,"Fulton Police Department","Gunshot",2019-12-30,2019
27241,"22","Male","European-American/White","European-American/White","3015 Old State Rd 25","Lafayette","IN",47905,"Tippecanoe","3015 Old State Rd 25 Lafayette IN 47905 Tippecanoe","40.4621766",-86.8404185,"Tippecanoe County Sheriff's Office","Gunshot",2019-12-29,2019
27242,"29","Male","European-American/White","European-American/White","851 E Minnesota St","Rapid City","SD",57701,"Pennington","851 E Minnesota St Rapid City SD 57701 Pennington","44.0452448",-103.2039709,"Rapid City Police Department","Gunshot",2019-12-29,2019
27243,"34","Male","European-American/White","European-American/White","9160 Cinema Dr","Juneau","AK",99801,"Juneau","9160 Cinema Dr Juneau AK 99801 Juneau","58.3804",-134.5820001,"Juneau Police Department","Gunshot",2019-12-29,2019
27283,"50","Male","Hispanic/Latino","Hispanic/Latino","1501 Main St.","El Centro","CA",92243,"Imperial","1501 Main St. El Centro CA 92243 Imperial ","32.7921225",-115.570756,"El Centro Police Department","Gunshot",2019-12-29,2019
27284,"76","Male","Race unspecified","European-American/White","US-78","Byhalia","MS",38611,"DeSoto","US-78 Byhalia MS 38611 DeSoto ","34.882806",-89.729127,"DeSoto County Sheriff's Office","Gunshot",2019-12-29,2019
27236,"52","Male","European-American/White","European-American/White","6202 Hermann Park Dr","Houston","TX",77030,"Harris","6202 Hermann Park Dr Houston TX 77030 Harris","29.7201023",-95.3876909,"Harris County Sheriff's Office","Gunshot",2019-12-28,2019
27237,"31","Male","Race unspecified","European-American/White","914 Pierce Ave","Lancaster","OH",43130,"Fairfield","914 Pierce Ave Lancaster OH 43130 Fairfield","39.7252476",-82.6178903,"Lancaster Police Department","Gunshot",2019-12-28,2019
27238,"31","Male","European-American/White","European-American/White","600 block Hattie Ave","Elizabethton","TN",37643,"Carter","600 block Hattie Ave Elizabethton TN 37643 Carter","36.3466574",-82.2142343,"Elizabethton Police Department","Gunshot",2019-12-28,2019
27239,"34","Male","European-American/White","European-American/White","13090 E State Hwy 20","Clearlake Oaks","CA",95423,"Lake","13090 E State Hwy 20 Clearlake Oaks CA 95423 Lake","39.0279593",-122.6646093,"Lake County Sheriff's Office","Gunshot",2019-12-28,2019
27240,"27","Male","Race unspecified","Hispanic/Latino","100 block Water St","Bakersfield","CA",93305,"Kern","100 block Water St Bakersfield CA 93305 Kern","35.395469",-118.9851884,"Kern County Sheriff's Office","Gunshot",2019-12-28,2019
27231,"43","Male","European-American/White","European-American/White","100 block Nantucket Pl","Newport News","VA",23606,"Newport News City","100 block Nantucket Pl Newport News VA 23606 Newport News City","37.0799359",-76.470212,"Newport News Police Department","Gunshot",2019-12-27,2019
27232,"","Male","Race unspecified","European-American/White","1200 block Gloria Ave","Linthicum Heights","MD",21090,"Anne Arundel","1200 block Gloria Ave Linthicum Heights MD 21090 Anne Arundel","39.2163019",-76.6766491,"Anne Arundel County Police Department, U.S. Federal Bureau of Investigation","Gunshot",2019-12-27,2019
27233,"42","Male","European-American/White","European-American/White","Wall Ave and Riverdale Rd","South Ogden","UT",84405,"Weber","Wall Ave and Riverdale Rd South Ogden UT 84405 Weber","41.1924924",-111.9793076,"South Ogden Police Department","Gunshot",2019-12-27,2019
27235,"16","Male","Race unspecified","European-American/White","138 Washington St","Limerick","ME",4048,"York","138 Washington St Limerick ME 4048 York","43.6964643",-70.7887644,"York County Sheriff's Office","Gunshot",2019-12-27,2019
27229,"35","Male","African-American/Black","African-American/Black","3600 block Hallbrook St","Memphis","TN",38127,"Shelby","3600 block Hallbrook St Memphis TN 38127 Shelby","35.2238833",-90.0004612,"Memphis Police Department","Gunshot",2019-12-26,2019
27230,"35","Male","Hispanic/Latino","Hispanic/Latino","300 block Congress Ave","Auburndale","FL",33823,"Polk","300 block Congress Ave Auburndale FL 33823 Polk","28.0661379",-81.7802187,"Polk County Sheriff's Office","Gunshot",2019-12-26,2019
27207,"23","Male","African-American/Black","African-American/Black","4500 block Ridge Road","Atlanta","GA",30349,"Fulton","4500 block Ridge Road Atlanta GA 30349 Fulton","33.6317249",-84.5086751,"Clayton County Sheriff's Office","Gunshot",2019-12-25,2019
27228,"59","Female","European-American/White","European-American/White","11400 block SW 79th St","Ocala","FL",34476,"Marion","11400 block SW 79th St Ocala FL 34476 Marion","29.1080106",-82.2475001,"Marion County Sheriff's Office","Gunshot",2019-12-25,2019
27202,"56","Male","European-American/White","European-American/White","521 Latoka Ct.","Springfield","MO",65807,"Greene","521 Latoka Ct. Springfield MO 65807 Greene","37.1795188",-93.2883686,"Springfield Police Department","Gunshot",2019-12-24,2019
27203,"60","Male","African-American/Black","African-American/Black","2315 N Martin Luther King Ave","Oklahoma City","OK",73111,"Oklahoma","2315 N Martin Luther King Ave Oklahoma City OK 73111 Oklahoma","35.4919741",-97.4771462,"Oklahoma City Police Department","Gunshot",2019-12-24,2019
27204,"65","Male","Race unspecified","European-American/White","1003 W Gaucho Cir","Deltona","FL",32725,"Volusia","1003 W Gaucho Cir Deltona FL 32725 Volusia","28.8903285",-81.2699933,"Volusia County Sheriff's Office","Gunshot",2019-12-24,2019
27205,"20","Male","Hispanic/Latino","Hispanic/Latino","505 Whitehall St","Plant City","FL",33563,"Hillsborough","505 Whitehall St Plant City FL 33563 Hillsborough","28.0192499",-82.1340834,"Plant City Police Department","Gunshot",2019-12-24,2019
27199,"24","Male","European-American/White","European-American/White","5100 Hurricane Dr","Bryant","AR",72022,"Saline","5100 Hurricane Dr Bryant AR 72022 Saline","34.6043118",-92.5259408,"Bryant Police Department","Gunshot",2019-12-23,2019
27200,"34","Male","Hispanic/Latino","Hispanic/Latino","S Flores St and W Theo Ave","San Antonio","TX",78204,"Bexar","S Flores St and W Theo Ave San Antonio TX 78204 Bexar","29.387927",-98.503608,"San Antonio Police Department","Gunshot",2019-12-23,2019
27201,"38","Male","Hispanic/Latino","Hispanic/Latino","7611 W Thomas Rd","Phoenix","AZ",85033,"Maricopa","7611 W Thomas Rd Phoenix AZ 85033 Maricopa","33.4763971",-112.2255384,"Phoenix Police Department","Gunshot",2019-12-23,2019
27197,"46","Male","Race unspecified","African-American/Black","1000 Turtle Creek Drive","Hattiesburg","MS",39402,"Lamar","1000 Turtle Creek Drive Hattiesburg MS 39402 Lamar","31.3255028",-89.3754792,"Hattiesburg Police Department","Gunshot",2019-12-22,2019
27198,"34","Male","European-American/White","European-American/White","2174 Pine Street","Redding","CA",96001,"Shasta","2174 Pine Street Redding CA 96001 Shasta","40.5779637",-122.3870043,"Redding Police Department","Gunshot",2019-12-22,2019
27223,"24","Male","African-American/Black","African-American/Black","Center Street and Stoner Way","Pittsburgh","PA",15221,"Allegheny","Center Street and Stoner Way Pittsburgh PA 15221 Allegheny","40.442345",-79.882152,"Wilkinsburg Police Department","Gunshot",2019-12-22,2019
27193,"57","Male","Race unspecified","European-American/White","2532 Sterling Dr","Evansville","IN",47715,"Vanderburgh","2532 Sterling Dr Evansville IN 47715 Vanderburgh","38.0003029",-87.4680951,"Evansville Police Department","Gunshot",2019-12-21,2019
27194,"26","Male","European-American/White","European-American/White","1871 North Highway 27","Carrollton","GA",30117,"Carroll","1871 North Highway 27 Carrollton GA 30117 Carroll","33.6175775",-85.0931177,"Carroll County Sheriff's Office","Gunshot",2019-12-21,2019
27195,"57","Male","European-American/White","European-American/White","120 E Clinton St","Ithaca","NY",14850,"Tompkins","120 E Clinton St Ithaca NY 14850 Tompkins","42.437198",-76.4975558,"Ithaca Police Department","Gunshot",2019-12-21,2019
27196,"40","Male","European-American/White","European-American/White","UT-31","Huntington","UT",84528,"Emery","UT-31 Huntington UT 84528 Emery","39.458835",-111.144384,"Emery County Sheriff's Office, Utah Highway Patrol","Gunshot",2019-12-21,2019
